number,date,close_index
5445,2009-01-07,14987.459961
5446,2009-01-08,14415.910156
5447,2009-01-09,14377.440430
5448,2009-01-12,13971.000000
5449,2009-01-13,13668.049805
5450,2009-01-14,13704.610352
5451,2009-01-15,13242.959961
5452,2009-01-16,13255.509766
5453,2009-01-19,13339.990234
5454,2009-01-20,12959.769531
5455,2009-01-21,12583.629883
5456,2009-01-22,12657.990234
5457,2009-01-23,12578.599609
5458,2009-01-29,13154.429688
5459,2009-01-30,13278.209961
5460,2009-02-02,12861.490234
5461,2009-02-03,12776.889648
5462,2009-02-04,13063.889648
5463,2009-02-05,13178.900391
5464,2009-02-06,13655.040039
5465,2009-02-09,13769.059570
5466,2009-02-10,13880.639648
5467,2009-02-11,13539.209961
5468,2009-02-12,13228.299805
5469,2009-02-13,13554.669922
5470,2009-02-16,13455.879883
5471,2009-02-17,12945.400391
5472,2009-02-18,13016.000000
5473,2009-02-19,13023.360352
5474,2009-02-20,12699.169922
5475,2009-02-23,13175.099609
5476,2009-02-24,12798.519531
5477,2009-02-25,13005.080078
5478,2009-02-26,12894.940430
5479,2009-02-27,12811.570313
5480,2009-03-02,12317.459961
5481,2009-03-03,12033.879883
5482,2009-03-04,12331.150391
5483,2009-03-05,12211.240234
5484,2009-03-06,11921.519531
5485,2009-03-09,11344.580078
5486,2009-03-10,11694.049805
5487,2009-03-11,11930.660156
5488,2009-03-12,12001.530273
5489,2009-03-13,12525.799805
5490,2009-03-16,12976.709961
5491,2009-03-17,12878.089844
5492,2009-03-18,13117.169922
5493,2009-03-19,13130.919922
5494,2009-03-20,12833.509766
5495,2009-03-23,13447.419922
5496,2009-03-24,13910.339844
5497,2009-03-25,13622.110352
5498,2009-03-26,14108.980469
5499,2009-03-27,14119.500000
5500,2009-03-30,13456.330078
5501,2009-03-31,13576.019531
5502,2009-04-01,13519.540039
5503,2009-04-02,14521.969727
5504,2009-04-03,14545.690430
5505,2009-04-06,14998.040039
5506,2009-04-07,14928.969727
5507,2009-04-08,14474.860352
5508,2009-04-09,14901.410156
5509,2009-04-14,15580.160156
5510,2009-04-15,15669.620117
5511,2009-04-16,15582.990234
5512,2009-04-17,15601.269531
5513,2009-04-20,15750.910156
5514,2009-04-21,15285.889648
5515,2009-04-22,14878.450195
5516,2009-04-23,15214.459961
5517,2009-04-24,15258.849609
5518,2009-04-27,14840.419922
5519,2009-04-28,14555.110352
5520,2009-04-29,14956.950195
5521,2009-04-30,15520.990234
5522,2009-05-04,16381.049805
5523,2009-05-05,16430.080078
5524,2009-05-06,16834.570313
5525,2009-05-07,17217.890625
5526,2009-05-08,17389.869141
5527,2009-05-11,17087.949219
5528,2009-05-12,17153.640625
5529,2009-05-13,17059.619141
5530,2009-05-14,16541.689453
5531,2009-05-15,16790.699219
5532,2009-05-18,17022.910156
5533,2009-05-19,17544.029297
5534,2009-05-20,17475.839844
5535,2009-05-21,17199.490234
5536,2009-05-22,17062.519531
5537,2009-05-25,17121.820313
5538,2009-05-26,16991.560547
